2025-09-24 01:45:45 | shared.envelope                | DEBUG    | Validating envelope structure
2025-09-24 01:45:45 | server.server                  | INFO     | [server=server-8... user=user-123... conn=conn-001] User connected
2025-09-24 01:45:45 | client.client                  | ERROR    | [msg=USER_HELLO] Connection failed
2025-09-24 01:45:45 | shared.envelope                | WARNING  | [msg=SERVER_DELIVER] Invalid signature detected
2025-09-24 01:45:45 | __main__                       | INFO     | Initialized SOCP Server with ID: c4b9332d-d9fc-46cb-8067-3ba9c110548f
2025-09-24 01:45:45 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 01:45:45 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-24 11:30:19 | __main__                       | INFO     | Initialized SOCP Server with ID: f669a889-44ba-4ece-a51b-708c6da82e16
2025-09-24 11:30:19 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 11:30:19 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-24 11:30:25 | __main__                       | INFO     | Initialized SOCP Server with ID: 72d1219c-9db3-46b0-81a0-06de7f1f2896
2025-09-24 11:30:25 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 11:30:25 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-25 16:10:13 | __main__                       | INFO     | Initialized SOCP Server with ID: c9753437-c880-42d0-bac3-04aa10316cdf
2025-09-25 16:10:13 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-25 16:10:13 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
